Labels,IA1,IA-11,IA-12,IA-13,IB2,IB-14,IB-15,IB-16
cg00024494,0.753899055,0.650466991077207,0.808855075567219,0.745946956534674,0.946010743,0.785885019960546,0.808095281037801,0.902140018675624
cg00034101,0.968992164,0.938929525124558,0.937567231247725,0.907750539428173,0.959291915,0.948779248710326,0.948492841259389,0.944855760341052
cg00078857,0.929706419,0.908542377709143,0.928751672914842,0.845416275235105,0.926969987,0.918259623472597,0.922495529270114,0.929419257244086
cg00107579,0.579198281,0.478302404654153,0.580955764004581,0.645996779158845,0.634787771,0.767144612416586,0.583985325494516,0.578603699574403
cg00153919,0.494391099,0.420017113115844,0.415699764302266,0.47476532915469,0.215865951,0.191160708385543,0.16601998379409,0.384074617588622
cg00292669,0.47527677,0.452316663828818,0.459681036106544,0.47392157656084,0.448687773,0.430963284531667,0.415180210570307,0.434516261615404
cg00301396,0.96646744,0.958726097594708,0.9658278485003,0.946623672164928,0.957091527,0.963813025725128,0.966959512911664,0.965702958154509
cg00361017,0.846859352,0.865922206796071,0.861905997208126,0.874422863927719,0.82406396,0.742030713686469,0.779004628828729,0.776235867517194
cg00369376,0.3799434,0.579565072397705,0.302711272203169,0.250799173002098,0.07412774,0.05271678238786,0.0670276270588527,0.0731889439861574
cg00381755,0.967344675,0.975798163230079,0.95278551578503,0.846120225425529,0.932984399,0.949624412556901,0.951186135893016,0.919235815597868
cg00384205,0.594695601,0.75915282704195,0.911964105030681,0.809037389169205,0.730235632,0.811754405841359,0.751988524553715,0.759853660664534
cg00397910,0.514504439,0.495720650370436,0.480442703254306,0.445563141779081,0.520092989,0.49327355842217,0.496615162239038,0.506030908391113
cg00408773,0.620622164,0.625425048346259,0.612769443844856,0.607133818626723,0.634658642,0.627451869991981,0.599438612533848,0.615796582615112
cg00428638,0.545463417,0.659727054519441,0.447531394328963,0.545155032909041,0.911484274,0.63311312587945,0.740812578457234,0.845926587375375
cg00431565,0.854255989,0.822966107035248,0.654543502006762,0.681172239029843,0.490177976,0.487355574247057,0.485378206472172,0.567817545407509
cg00473597,0.80296492,0.917624591621845,0.829950464298712,0.796570123807448,0.687504049,0.566015689168553,0.676971041296582,0.716731158924676
cg00504902,0.816734041,0.903614223337973,0.800781268273278,0.777630699085273,0.636634444,0.622072190970266,0.53595137983113,0.640279367980331
cg00604454,0.634422229,0.532304338295346,0.509362387490163,0.61312225506399,0.920830487,0.928028687030547,0.936375334635795,0.926147730377934
cg00610991,0.598382706,0.651460565322812,0.839997242840222,0.683773774343447,0.649872786,0.662172199802329,0.613138487100708,0.588473166748494
cg00619263,0.937230566,0.930515718066928,0.933676773653117,0.913835947403878,0.947421499,0.93521223515651,0.939268451008095,0.942460929294414
cg00631327,0.024292508,0.0270507273574958,0.0309972201345594,0.115739729740304,0.034208551,0.0387634369791349,0.0341221148019779,0.0497605869750193
cg00631329,0.942500744,0.934802997118401,0.930873148250515,0.939528254697763,0.945029262,0.91626706334347,0.919093880119992,0.937850651446726
cg00659077,0.942618063,0.931453004369471,0.92990542979573,0.86848711461819,0.462456287,0.0508984533274063,0.374256809694309,0.655264716871341
cg00666014,0.04007558,0.0495094679703873,0.0730106193693537,0.0553562538445892,0.033402934,0.061733272871049,0.0557630206737805,0.0430861404099587
cg00666422,0.588251796,0.585747492698047,0.739714268773707,0.683264269223722,0.637797662,0.591896283194831,0.578354361649975,0.604366751823846
cg00718336,0.743039286,0.724638221378889,0.407121927479024,0.584947177136618,0.386376877,0.368779173633295,0.534742927801693,0.393511006099793
cg00739471,0.803209478,0.745342126229448,0.811181581277773,0.734200566031563,0.808685557,0.908875015657385,0.756607520308525,0.809595214528309
cg00753924,0.707054043,0.725466929724953,0.597853052342386,0.676216853855453,0.92078395,0.935154261600403,0.908377487063365,0.947122600340285
cg00807197,0.930126549,0.916745187599529,0.902812149529416,0.711209897561274,0.331713832,0.351638798921207,0.333891127849198,0.383662061270652
cg00813752,0.912408106,0.917041674005577,0.921270857150366,0.868216740637922,0.917526774,0.909069884194399,0.933532777460138,0.893770856359066
cg00851732,0.437353634,0.297554511716234,0.674276459577255,0.56380633921682,0.657970316,0.698856482942292,0.673633744940793,0.663940415517156
cg00871610,0.896025854,0.941778473250987,0.936925718456398,0.829305033570046,0.75002062,0.824450492136168,0.791718296704672,0.760742255439779
