Unnamed: 0,Labels,EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2,EA,EB
495125,cg00009871,0.909099908,0.893943303,0.723160169,0.580449036,0.508283743,0.519358862,0.485313365,0.927072817,0.799255142,0.69369435
383318,cg00023673,0.711087569,0.694442837,0.601067892,0.585969268,0.557165311,0.496849959,0.234060179,0.135631456,0.66876414,0.466054019
510710,cg00028431,0.601485099,0.903362622,0.568829858,0.36255379,0.867670009,0.568843044,0.920097194,0.928840594,0.589672899,0.685174268
215281,cg00031187,0.301903661,0.185043156,0.184449401,0.08470468,0.201061236,0.0547265,0.046346619,0.238173947,0.448197735,0.343410588
424562,cg00033950,0.54531617,0.651427619,0.904305192,0.823797414,0.502116067,0.244754635,0.487808224,0.443936673,0.66015363,0.528165933
491395,cg00039795,0.574620458,0.929893049,0.858195033,0.937639795,0.750691198,0.594776748,0.512452135,0.343718229,0.78871788,0.561982044
413133,cg00069760,0.49274861,0.714916607,0.939007321,0.733171336,0.245770385,0.327863365,0.433691597,0.556820077,0.747792775,0.43147348
257283,cg00084094,0.367835961,0.229747023,0.292455535,0.666391748,0.0887511,0.187307603,0.032645465,0.04406048,0.421297928,0.378658875
750652,cg00125585,0.851872861,0.843024782,0.918999157,0.940098474,0.917093268,0.901042786,0.935856382,0.94605839,0.783929639,0.829266376
432471,cg00133811,0.778452707,0.925388754,0.930098664,0.883105738,0.26428931,0.044964382,0.062772705,0.827877975,0.766616812,0.47066794
500667,cg00137671,0.620014824,0.929687701,0.65523013,0.501175247,0.904375399,0.548505828,0.505058604,0.946429645,0.732898908,0.733242076
423057,cg00153041,0.665908019,0.480302837,0.475041383,0.613917557,0.498353509,0.587816323,0.415416916,0.845661092,0.519625416,0.714248741
470123,cg00158092,0.60854268,0.896053545,0.792926187,0.909222308,0.436171591,0.611989948,0.418909571,0.5600768,0.695378684,0.485093927
610543,cg00164123,0.556871922,0.937900112,0.849625935,0.876050168,0.877488348,0.74476517,0.884910604,0.850874873,0.794500555,0.788841513
468870,cg00176635,0.428198036,0.917252794,0.896499581,0.893432128,0.0744956,0.792101949,0.474575038,0.741416407,0.599032244,0.533881256
370270,cg00216205,0.478398485,0.852833846,0.757335077,0.707246118,0.224003869,0.243943286,0.41843801,0.150210844,0.755082164,0.376831751
454385,cg00222963,0.758543984,0.593209326,0.609633094,0.55645863,0.697072871,0.766630118,0.565413523,0.468366527,0.524670893,0.496874816
243469,cg00242263,0.223890797,0.161528996,0.063314323,0.104096423,0.097471084,0.238908214,0.065484466,0.723246639,0.373804784,0.401912819
409649,cg00266265,0.527981647,0.901111706,0.677614891,0.926114896,0.58524153,0.600450804,0.044800612,0.130285554,0.830638489,0.519372882
317684,cg00273359,0.29111335,0.648184045,0.50609906,0.534326147,0.713616989,0.101399653,0.052855924,0.144509185,0.528564411,0.373502395
303893,cg00273863,0.457104171,0.711612023,0.490870566,0.367583075,0.316076456,0.027974379,0.113988171,0.264992384,0.51503841,0.358218084
404229,cg00276145,0.416387226,0.661165738,0.866569467,0.85927198,0.525024491,0.43516035,0.469945533,0.082360048,0.549957942,0.459426496
318651,cg00281323,0.398283977,0.787972343,0.475833677,0.483869144,0.112385417,0.061516125,0.105097605,0.584204973,0.536679696,0.389152261
329605,cg00292336,0.402811358,0.248965276,0.460435876,0.045233959,0.831649414,0.358444485,0.30811237,0.541703408,0.396764115,0.487074904
204304,cg00307770,0.064669008,0.378720486,0.059247791,0.160290771,0.164701017,0.254384151,0.043960941,0.051220466,0.380260578,0.292672666
551240,cg00327939,0.588007247,0.684743793,0.916405913,0.893903709,0.876664532,0.729732088,0.757725878,0.670120861,0.676770213,0.652695532
247085,cg00337187,0.235515739,0.411038961,0.295127874,0.443400609,0.049553538,0.118299652,0.058633097,0.125499571,0.458292102,0.293459649
349907,cg00352489,0.594233895,0.577760792,0.369119645,0.472847023,0.475484507,0.494087274,0.351523523,0.197348249,0.579397956,0.446768848
